image: 0 	 bpp: 0.3956705729166667
image: 1 	 bpp: 0.38653564453125
image: 2 	 bpp: 0.3791097005208333
image: 3 	 bpp: 0.3864542643229167
image: 4 	 bpp: 0.4017130533854167
image: 5 	 bpp: 0.3930257161458333
image: 6 	 bpp: 0.38232421875
image: 7 	 bpp: 0.4043375651041667
image: 8 	 bpp: 0.3780110677083333
image: 9 	 bpp: 0.3821818033854167
image: 10 	 bpp: 0.3913370768229167
image: 11 	 bpp: 0.38580322265625
image: 12 	 bpp: 0.4012044270833333
image: 13 	 bpp: 0.39471435546875
image: 14 	 bpp: 0.38525390625
image: 15 	 bpp: 0.3831583658854167
image: 16 	 bpp: 0.3792521158854167
image: 17 	 bpp: 0.3955281575520833
image: 18 	 bpp: 0.38861083984375
image: 19 	 bpp: 0.3790283203125
image: 20 	 bpp: 0.3868408203125
image: 21 	 bpp: 0.3919270833333333
image: 22 	 bpp: 0.3835245768229167
image: 23 	 bpp: 0.395263671875
Bpp Average: 0.3887837727864583
